Name,RFIDTag,2020-10-05,2020-10-06,2020-10-07,2020-10-08,2020-10-09,2020-10-10,2020-10-11,2020-10-12,2020-10-13,2020-10-14,2020-10-15,2020-10-16,2020-10-17,2020-10-18,2020-10-19,2020-10-20
"Auto-Detected_",000000000840003218358628,1580,1551.8,1630,1583.3,1598.6,1580.6,1593.4,0,1551.8,1550,1608.8,1593.8,1609.4,1630.2,1604.1,1596.6
"Auto-Detected_",000000000840003218358629,1230,1231.9,1254.6,1280.9,1282,1316.8,1249.5,0,1271.2,1304.8,1282.1,1285.3,1256.2,1296.7,1227.8,1251.3
"Auto-Detected_",000000000840003218358635,1538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Auto-Detected_",000000000840003218358638,1435,1404.9,1404.4,1414.8,1418.7,1394.7,1384.6,0,1398.4,1442.5,1413.3,1381.8,1401.2,1395.7,1394.9,1411.8
"Auto-Detected_",000000000840003218358639,1490,1458.6,1548,1521.4,1570.8,1492.6,1479.3,0,1543.9,1513.8,1535.2,1550.5,1558.2,1522.5,1539,1514.3
"Auto-Detected_",000000000840003218358640,1515,1507.6,1631.3,1622.5,0,1604.6,0,0,0,1593.2,1521.2,0,1585.4,0,1570.2,0
"Auto-Detected_",000000000840003218358641,1360,1358,1330.2,1365.8,1356.9,1348.1,1370,0,1367.8,1366.5,1365.3,1344.4,1335.9,1366.3,1342.8,1373.3
"Auto-Detected_",000000000840003218358642,1545,1539.6,1561.4,1558.7,1567.4,1528,1532.3,0,1574.9,1594.4,1533.4,1578.3,1556.5,1509.9,1544.1,1559.2
"Auto-Detected_",000000000840003218358643,1450,1470,1436.3,1458.7,1474.7,1474,1453.3,0,1428.2,1481.9,1481.6,1488.4,1460.9,1474.8,1461.6,1466.6
